Unnamed: 0,Tweets,Created_At,Locations,Clean Tweets
43,"FDOH: Florida cases over 50K, deaths surpass 2K

(Via WKRG) https://t.co/JtLk1owONK",2020-05-24 23:59:55,Florida Panhandle,FDOH Florida cases over K deaths surpass K Via WKRG 
44,RT @realTuckFrumper: Two Missouri Hairdressers Working With Coronavirus Symptoms Potentially Exposed 140 Clients https://t.co/nU2UMpibLe,2020-05-24 23:59:55,NO lists please! I will block., Two Missouri Hairdressers Working With Coronavirus Symptoms Potentially Exposed Clients 
45,RT @DianaLogue2: Missouri hairstylist with coronavirus worked while symptomatic - CNN https://t.co/ugSLn8QB8J,2020-05-24 23:59:55,Wildwood NJ, Missouri hairstylist with coronavirus worked while symptomatic CNN 
46,"RT @RBReich: The Navajo Nation has the most coronavirus infections per capita in America.

The health system is overwhelmed. Food and suppl…",2020-05-24 23:59:55,, The Navajo Nation has the most coronavirus infections per capita in America The health system is overwhelmed Food and suppl 
47,RT @Breaking911: BREAKING: President Trump issues travel ban on Brazil due to coronavirus,2020-05-24 23:59:55,Far from the #Swamp.THANK GOD!, BREAKING President Trump issues travel ban on Brazil due to coronavirus
48,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:55,, Luckily the average CoronaVirus is two inches wide 
49,"RT @Mojahedineng: More than 44,000 people have died of the novel #coronavirus in 320 cities checkered across all of #Iran's 31 provinces, a…",2020-05-24 23:59:55,, More than people have died of the novel coronavirus in cities checkered across all of Iran s provinces a 
50,"RT @TulsiGabbard: If I’d been on the debate, I’d have brought up 2 extremely important issues which @DNC/@MSNBC &amp; other candidates failed t…",2020-05-24 23:59:55,, If I d been on the debate I d have brought up extremely important issues which amp other candidates failed t 
51,Hot weather usually heats up the job market for teenagers. But the coronavirus is clouding the outlook for summer j… https://t.co/e54rsINPj2,2020-05-24 23:59:55,Waddesdon,Hot weather usually heats up the job market for teenagers But the coronavirus is clouding the outlook for summer j 
52,"RT @ItoniLl: Cuomo attempts to deflect blame of deadly nursing home coronavirus debacle on to Trump

https://t.co/ExMmSgvIO3
Arrogant and u…",2020-05-24 23:59:54,"Florida, USA", Cuomo attempts to deflect blame of deadly nursing home coronavirus debacle on to Trump Arrogant and u 
53,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:54,"Route 66, CA", Luckily the average CoronaVirus is two inches wide 
54,RT @NELibDems: (Continued) Given the clear public interest in this case I have today referred this matter to the Chief Constable of Durham…,2020-05-24 23:59:54,London, Continued Given the clear public interest in this case I have today referred this matter to the Chief Constable of Durham 
55,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:54,, Luckily the average CoronaVirus is two inches wide 
56,RT @gatewaypundit: THEY DID IT AGAIN! CBS Caught Using Photo from Ukraine in 2016 in Their 'Panic Porn' on Coronavirus in Children https://…,2020-05-24 23:59:54,"Van Buren, AR", THEY DID IT AGAIN CBS Caught Using Photo from Ukraine in in Their Panic Porn on Coronavirus in Children 
57,"@seanhannity Hey dude, change the channel. CBS is airing ""Titanic"", the story of a presidency sunk when it hits a c… https://t.co/Nqm3ywyY5Q",2020-05-24 23:59:54,"Detroit, home of Rashida Tlaib", Hey dude change the channel CBS is airing Titanic the story of a presidency sunk when it hits a c 
58,'It felt like it was a disservice to us': Infectious disease specialist reacts to crowded park https://t.co/1dZMX76vO4,2020-05-24 23:59:54,Annapolis County Nova Scotia, It felt like it was a disservice to us Infectious disease specialist reacts to crowded park 
59,Trump out &amp; out lied about coronavirus to let Trump&amp;Co continue doing business w China. More than unethical he’s a criminal!,2020-05-24 23:59:54,"Cambridge, Massachusetts",Trump out amp out lied about coronavirus to let Trump amp Co continue doing business w China More than unethical he s a criminal 
60,RT @nytimes: Protesters in Hong Kong ignored social distancing restrictions as they took to the streets to oppose China's plan to impose se…,2020-05-24 23:59:54,, Protesters in Hong Kong ignored social distancing restrictions as they took to the streets to oppose China s plan to impose se 
61,"RT @SamMcGurran: So to clarify: 
1. Boris won’t come to the podium to front his governments Coronavirus response, but he will to defend his…",2020-05-24 23:59:54,"Bristol, UK", So to clarify Boris won t come to the podium to front his governments Coronavirus response but he will to defend his 
62,"RT @mollycrabapple: Last week freedom rider Sally Jane Rowley died alone in an old age home of Corona. In 1961, she was sentenced to 6 mont…",2020-05-24 23:59:53,, Last week freedom rider Sally Jane Rowley died alone in an old age home of Corona In she was sentenced to mont 
63,"RT @TeaPainUSA: This strategy is gonna look really stupid in 2 more weeks.

https://t.co/GcbfqC1sDS",2020-05-24 23:59:53,Ohio, This strategy is gonna look really stupid in more weeks 
64,"RT @murphmom02: But accuses trump of not doing enough?? Sent medical ships, MSM -rachel- said they wouldn't arrive till way later. How much…",2020-05-24 23:59:53,TEXAS, But accuses trump of not doing enough Sent medical ships MSM rachel said they wouldn t arrive till way later How much 
65,"RT @TimRunsHisMouth: CDC confirms remarkably low COVID-19 death rate... where's the media coverage?
https://t.co/rxvvQcqse8",2020-05-24 23:59:53,"Washington, USA", CDC confirms remarkably low COVID death rate where s the media coverage 
66,"RT @cjtruth: Ready to stand?
Q 👇👇

Court upholds California governor's coronavirus ban on in-person church services
#NothingCanStopWhatIsCo…",2020-05-24 23:59:53,Florida, Ready to stand Q Court upholds California governor s coronavirus ban on in person church services NothingCanStopWhatIsCo 
67,"RT @CDCgov: Take action to slow the spread of #COVID19 by wearing a cloth face covering in public spaces, keeping at least 6 feet of physic…",2020-05-24 23:59:53,, Take action to slow the spread of COVID by wearing a cloth face covering in public spaces keeping at least feet of physic 
68,"RT @NevadaElJefe: THEY DID IT AGAIN! CBS Caught Using Photo from Ukraine in 2016 in Their 'Panic Porn' on Coronavirus in Children

WTF! Let…",2020-05-24 23:59:53,, THEY DID IT AGAIN CBS Caught Using Photo from Ukraine in in Their Panic Porn on Coronavirus in Children WTF Let 
69,RT @ABC: VICTORY LAP: The graduates of Gallatin County High School Class of 2020 had an unforgettable graduation ceremony given an untradit…,2020-05-24 23:59:52,, VICTORY LAP The graduates of Gallatin County High School Class of had an unforgettable graduation ceremony given an untradit 
70,"RT @Number10cat: Given the Prime Minister and his government can no longer be relied upon to say this, I will:

If you suspect that you or…",2020-05-24 23:59:52,"Sale, England",cat Given the Prime Minister and his government can no longer be relied upon to say this I will If you suspect that you or 
71,"RT @PaulSGundlach: @BillKristol One month ago today: Mike Pence said, ""I think by Memorial Day weekend we will largely have this coronaviru…",2020-05-24 23:59:52,Maryland, One month ago today Mike Pence said I think by Memorial Day weekend we will largely have this coronaviru 
72,RT @ldog562: A Man Coughed on a Wegmans Employee. Now He’s Charged With a Felony. https://t.co/aTBKlbAoQz,2020-05-24 23:59:52,Pampanga- EMBRACE THE SUCK, A Man Coughed on a Wegmans Employee Now He s Charged With a Felony 
73,"RT @Ian_Fraser: So tens of thousands of UK coronavirus deaths can be directly attributed to Boris Johnson's ""libertarian instincts"", which…",2020-05-24 23:59:52,"Ayr, 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇧",_Fraser So tens of thousands of UK coronavirus deaths can be directly attributed to Boris Johnson s libertarian instincts which 
74,"RT @BlueSt0rmRising: Trump Argues That He’s The Real Victim Of The Coronavirus

https://t.co/32daerrTbM",2020-05-24 23:59:52,Los Angeles & NYC, Trump Argues That He s The Real Victim Of The Coronavirus 
75,China reports four new coronavirus cases in mainland as of end-May 21 - https://t.co/Xsxk79m3U3 #Shanghai #China #上海,2020-05-24 23:59:52,Shanghai,China reports four new coronavirus cases in mainland as of end May Shanghai China 上海
76,‘Lord Have Mercy’: Inside One of New York’s Deadliest ZIP Codes https://t.co/iENebORfim,2020-05-24 23:59:52,❤️ of Texas ✊🏾✊🏿✊🏽, Lord Have Mercy Inside One of New York s Deadliest ZIP Codes 
77,"RT @NickKristof: The larger point is that the US has bungled not only the public health response to the coronavirus, but also the economic…",2020-05-24 23:59:52,USA, The larger point is that the US has bungled not only the public health response to the coronavirus but also the economic 
78,"RT @CNN: The New York Times has dedicated Sunday's front page and three inside pages to the names of 1,000 people who have died from corona…",2020-05-24 23:59:52,"Los Angeles, CA", The New York Times has dedicated Sunday s front page and three inside pages to the names of people who have died from corona 
79,RT @KOB4: A New Mexico state official says gatherings of more than 100 people may not be possible for more than a year because of the coron…,2020-05-24 23:59:52,"Las Cruces, NM", A New Mexico state official says gatherings of more than people may not be possible for more than a year because of the coron 
80,RT @suebr: What on earth is govt  up to lifting benefits from $250 to $490pw for some unemployed people &amp; not the rest?  Yes - raise benefi…,2020-05-24 23:59:52,"Auckland, New Zealand", What on earth is govt up to lifting benefits from to pw for some unemployed people amp not the rest Yes raise benefi 
81,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:52,wisconsin, Luckily the average CoronaVirus is two inches wide 
82,"RT @FarooqTariq3: As one of unfortunate Coronavirus positive, I say: Imran Khan ignored warnings of health experts, downplayed threat COVID…",2020-05-24 23:59:52,, As one of unfortunate Coronavirus positive I say Imran Khan ignored warnings of health experts downplayed threat COVID 
83,RT @Julietknows1: Ohio Judge Deems State’s #Coronavirus Lockdown Illegal😬This is GOOD...Law only permits to “isolate” those who are sick...…,2020-05-24 23:59:51,"Tennessee, USA", Ohio Judge Deems State s Coronavirus Lockdown Illegal This is GOOD Law only permits to isolate those who are sick 
84,RT @RealJamesWoods: “The cure should not be worse than the disease.” If only the Democrats has heeded this when the President said it over…,2020-05-24 23:59:51,, The cure should not be worse than the disease If only the Democrats has heeded this when the President said it over 
85,RT @Biggy1883: How Australia's 'fake genuine Russian choir' Dustyesky went viral during the coronavirus pandemic How Goodski Is This?  http…,2020-05-24 23:59:51,Redcliffe  QLD   Australia, How Australia s fake genuine Russian choir Dustyesky went viral during the coronavirus pandemic How Goodski Is This http 
86,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:51,"Sarasota, FL", Luckily the average CoronaVirus is two inches wide 
87,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:51,"Georgia, USA", Luckily the average CoronaVirus is two inches wide 
88,"RT @catturd2: Let’s face it ...

The CDC is admittedly listing every disease under the sun as a coronavirus death to hide their complete an…",2020-05-24 23:59:51,"Texas, USA", Let s face it The CDC is admittedly listing every disease under the sun as a coronavirus death to hide their complete an 
89,"RT @cgtnamerica: Events in honor of Memorial Day across the U.S. have taken a different tone, as coronavirus deaths near the 100,000 mark.…",2020-05-24 23:59:51,"São Paulo, Brasil", Events in honor of Memorial Day across the U S have taken a different tone as coronavirus deaths near the mark 
90,RT @thehill: Trump imposes travel restrictions on Brazil as country sees a surge in coronavirus cases https://t.co/QFcaDUSe8v https://t.co/…,2020-05-24 23:59:51,, Trump imposes travel restrictions on Brazil as country sees a surge in coronavirus cases 
91,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:51,"GTA, Ontario", Luckily the average CoronaVirus is two inches wide 
92,"RT @catturd2: Let’s face it ...

The CDC is admittedly listing every disease under the sun as a coronavirus death to hide their complete an…",2020-05-24 23:59:51,Wisconsin, Let s face it The CDC is admittedly listing every disease under the sun as a coronavirus death to hide their complete an 
93,RT @RealJamesWoods: Luckily the average #CoronaVirus is two inches wide... https://t.co/wUCo6LNKuH,2020-05-24 23:59:51,, Luckily the average CoronaVirus is two inches wide 
94,"RT @ReicherStephen: It is very hard to provide scientific advice to a government which doesn't want to listen to science. I hope, however,…",2020-05-24 23:59:51,Epping, It is very hard to provide scientific advice to a government which doesn t want to listen to science I hope however 
95,"RT @RBReich: As America approaches 100,000 deaths from coronavirus, Trump is disputing the death numbers, blaming Obama, threatening to tes…",2020-05-24 23:59:50,, As America approaches deaths from coronavirus Trump is disputing the death numbers blaming Obama threatening to tes 
96,RT @CaucasianJames: at the end of the day coronavirus was no match for dick’s sporting goods,2020-05-24 23:59:50,, at the end of the day coronavirus was no match for dick s sporting goods
97,$21M NYC Field Hospital Closes After Seeing No Coronavirus Patients https://t.co/25KmlEV7Fm via @BreitbartNews,2020-05-24 23:59:50,, M NYC Field Hospital Closes After Seeing No Coronavirus Patients via 
98,"RT @janemerrick23: Johnson's pivot is that Cummings was ""trying to stop the spread"" of coronavirus by travelling to Durham. This is a gasli…",2020-05-24 23:59:50,Dust suspended in sunbeam, Johnson s pivot is that Cummings was trying to stop the spread of coronavirus by travelling to Durham This is a gasli 
99,RT @Reuters: Coronavirus could cost Mexico a million jobs: president https://t.co/dCSi5HR30F https://t.co/OcWDbffHQJ,2020-05-24 23:59:50,, Coronavirus could cost Mexico a million jobs president 
