,text,created_at,Location
108,"RT @TomthunkitsMind: REPUBLICANS ARE WILLING TO KILL PEOPLE TO KEEP POWER.

This is what voting lines look like in Wisconsin after the stat…",2020-06-14 23:59:46,"NEW YORK,NEW YORK"
109,To my #Ebola colleagues do we know much about the epidemiology of the new outbreak other than it is in #Equateur pr… https://t.co/rFZgxI85MO,2020-06-14 23:59:46,"Palo Alto, CA"
110,"RT @DarrenEuronews: Top 5 countries 🌍 with highest number of #coronavirus cases

1. 🇺🇸 USA (Trump)
2. 🇧🇷 Brazil (Bolsonaro)
3. 🇷🇺 Russia (P…",2020-06-14 23:59:46,India
111,RT @DocJeffD: This virus is not going to rest until it infects about 60 percent to 70 percent of the population... https://t.co/amKduN0LB5,2020-06-14 23:59:46,"Salt Lake City, UT"
112,"RT @IAmBumblebee: ""Capitalism itself is a fatally unstable system, Wolff pointed out. The very dynamics of capitalism inevitably lead to bo…",2020-06-14 23:59:46,"Las Vegas, NV"
113,"RT @notcapnamerica: BREAKING: Arizona’s infection rate is now three times that of New York State. 

#COVID19 https://t.co/ab964LrBJ8",2020-06-14 23:59:46,
114,"RT @guardian: Give 1m UK children reliable broadband or risk harming their education, MPs say https://t.co/LV69zKH7w3",2020-06-14 23:59:46,Brazil
115,"RT @dunefiIm: i recently wrote about yemen for my final in my global issues class, so here are a few facts about yemen’s humanitarian crisi…",2020-06-14 23:59:46,
116,RT @ANI: A 56-year-old Indian Revenue Service (IRS) officer allegedly committed suicide by ingesting acid in his car in Dwarka over fear of…,2020-06-14 23:59:46,India
117,"RT @60Minutes: “If we make cuts to higher education now, if we undermine public higher [education] as a driver of economic opportunity, we…",2020-06-14 23:59:46, MI
118,RT @cinderellaicius: I am in the hospital with my heart. I have permanent damage from having Coronavirus in March. I want to be at the prot…,2020-06-14 23:59:46,"Oak Ridge, TN"
119,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:46,mocityy
120,"RT @LiddleSavages: Infectious disease expert Dr. Anthony Fauci: “Although we would love to get back to business as usual, just take a look…",2020-06-14 23:59:45,TX Sheltered in place 
121,Cardiff Blues: Up to £6m revenue reduction predicted because of coronavirus  https://t.co/Zw3wZhZUQc,2020-06-14 23:59:45,West Yorkshire
122,RT @OGrady_Texas: @mdnij34 I will wear a mask and social distance until 4 weeks after I get a #COVID19 vaccination. I get bronchitis once o…,2020-06-14 23:59:45,
123,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:45,"Texas, USA"
124,"RT @JemilahMahmood: This is an important thread to read. Transmission of COVID19 is primarily by fit, healthy young adults. Yes the ones wh…",2020-06-14 23:59:45,Right behind you :)
125,"RT @SallyDeal4: @joncoopertweets #ARKANSAS! 😮
⚠️ Resisters!
The #coronavirus has caused voter registration to plummet + not everyone's payi…",2020-06-14 23:59:45,
126,RT @DoomsdayDebunks: News about spike in cases in some US states from Memorial day obscures news that many are controlling #COVID19 very we…,2020-06-14 23:59:45,
127,RT @ewarren: Remember: Steve Mnuchin is refusing to disclose which companies received more than $500 billion in taxpayer funds. Americans d…,2020-06-14 23:59:45,"South Bend, IN"
128,"RT @segzy_agent: It's so tiring that even with so many of us directly affected by COVID-19, some simpletons are still asking 'who do you kn…",2020-06-14 23:59:45,"Abuja, Nigeria"
129,"RT @Shirastweet: #CyberSecurity professionals have been working harder &amp; longer hours due to this #pandemic #coronavirus
https://t.co/Kemby…",2020-06-14 23:59:45,Worldwide
130,@kcivey @keshinil @BarrasReport ...How’s the whole ‘vote-by-mail’ thing going? NYC voters are discovering what DC v… https://t.co/NsDUidqkwC,2020-06-14 23:59:44,"Washington, DC"
131,RT @altNOAA: A close friend of mine just lost both her parents to COVID19 in a single day. I just don't understand why more people aren't t…,2020-06-14 23:59:44,
132,RT @Telegraph: A man has filed the first lawsuit against the Chinese government that seeks restitution for its cover-up of the coronavirus…,2020-06-14 23:59:44,
133,"RT @HillaryClinton: COVID-19 is still killing hundreds of Americans a day and strangling our economy. 

Meanwhile, the Trump administration…",2020-06-14 23:59:44,
134,"RT @NPR: Up to 1,000 South Florida service members, first responders and their families will be the first group of fans allowed to watch a…",2020-06-14 23:59:44,"Connecticut, USA"
135,RT @simondolan: The Govt has asked key players in the Education sector to sign a gagging clause to stop discussions about schools response…,2020-06-14 23:59:44,"East Grinstead, South East"
136,"RT @rhysblakely: A 70-year-old man in Seattle survived the coronavirus, got applauded by staff when he left the hospital after 62 days -- a…",2020-06-14 23:59:44,"Lagos, Nigeria"
137,"RT @catturd2: Remember y'all ... just watch. 

With all the huge riots and protests, in all the big Democrat cities, all across the USA - T…",2020-06-14 23:59:44,
138,"RT @chrisprener: Short #Missouri #COVID19 evening update 🧵 for Sunday, 6/14. I’ve pushed updates to all metrics to the website - https://t.…",2020-06-14 23:59:44,"Missouri, USA"
139,"RT @latimes: Without instructions to self-quarantine or seek testing, more than 200 people on these flights returned to their families and…",2020-06-14 23:59:43,Northern California 
140,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:43,
141,"RT @RonBrownstein: ""TX reported a record high of 2,242 COVID-19 hospitalizations on Saturday, according to Texas Health and Human Services.…",2020-06-14 23:59:43,Crestview Florida...gulf coast
142,RT @WajahatAli: We've been in lockdown since late February. We have an immuno-compromised daughter who survived Stage 4 cancer this year. F…,2020-06-14 23:59:43,Northern California 
143,"RT @LizFarmerTweets: New to working from home? Already a pro? Love podcasts? Tired of questions and want me to get to the point? 
Listen to…",2020-06-14 23:59:43,Los Angeles
144,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:43,
145,"RT @People4Shahid: Why hasn’t @SpeakerPelosi pushed to freeze rent during the coronavirus pandemic? 

San Francisco is one of the most expe…",2020-06-14 23:59:43,
146,"RT @AnEggOnABeach: An adult outside the cage is wearing a mask, that means all these children are packed in cages without any protection du…",2020-06-14 23:59:43,
147,"RT @rebeccanagle: While there are a lot of negative (and racist) stereotypes about tribal casinos, they are the economic base for governmen…",2020-06-14 23:59:43,
148,"RT @catturd2: Remember y'all ... just watch. 

With all the huge riots and protests, in all the big Democrat cities, all across the USA - T…",2020-06-14 23:59:42,"Oregon, USA"
149,RT @Bamafanaticfan1: Trump campaign claims record number of ticket requests for rescheduled Tulsa rally | Fox News And All If A Sudden Demo…,2020-06-14 23:59:42,
150,"RT @AbraarKaran: THREAD
1/ To all my friends in their 20s/30s

Even if you don’t care about spreading to others (grandma etc), the threat #…",2020-06-14 23:59:42,
151,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:42,Republic of Texas
152,RT @tmprowell: The US has performed its first double lung transplant for lung damage caused by #COVID19. The recipient is a 20 yr old woman…,2020-06-14 23:59:41,India
153,"RT @PeterDaszak: This is a tragedy we knew was coming. “Nearly 2,000 people in and around Leticia are sick with COVID-19. About 70 have die…",2020-06-14 23:59:41,
154,"RT @Junaidch_: May Allah grant #shahidafridi a speedy recovery from #covid19.
#Lala is our national hero. He is the only Pakistani who has…",2020-06-14 23:59:41,Azad Kashmir.
155,"RT @ABSCBNNews: DAY 93. Here are the stories you need to watch out for this Monday, June 15, 2020, amid the #COVID19 pandemic:

* The Phili…",2020-06-14 23:59:41,കേരളം
156,"RT @MichelReuters: Macron tonight: “I will be very clear tonight, compatriots: the Republic won’t erase any name from its history. It will…",2020-06-14 23:59:40,
157,RT @cinderellaicius: I am in the hospital with my heart. I have permanent damage from having Coronavirus in March. I want to be at the prot…,2020-06-14 23:59:40,"City by the Strait, MI"
158,"""Woo we beat Coronavirus by staying inside for one week two months ago.""

""Beaten? me?""

""Let's reopen back up and… https://t.co/PQ3JED9JOV",2020-06-14 23:59:40,"Savannah, GA"
159,RT @MspdcaliKag: Fauci told CNN on Friday increases in cases in several states were “NOT” necessarily indicative of a “second spike” of inf…,2020-06-14 23:59:40,Low Country
160,"RT @funder: President Obama called Trump’s coronavirus response ""an absolute chaotic disaster.” #ObamaDayUSA",2020-06-14 23:59:40,
161,RT @latimes: Two long-haul flights into Los Angeles International Airport in March each included a person who later was found to have COVID…,2020-06-14 23:59:40,
162,"RT @Reuters: More U.S. states, including Florida and Texas, are experiencing record-breaking levels of coronavirus cases and hospitalizatio…",2020-06-14 23:59:40,colombia
163,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:40,"São Paulo, Brasil"
164,"RT @RealJamesWoods: Cuomo threatens to shut down Manhattan, Hamptons again if coronavirus social-distancing rules broken // This genius mus…",2020-06-14 23:59:40,"Elmore, Oh"
